"price:3990000, area:4100, bedrooms:4, bathrooms:1, stories:1, mainroad:no, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:3990000, area:6480, bedrooms:3, bathrooms:1, stories:2, mainroad:no, guestroom:no, basement:no, hotwaterheating:no, airconditioning:yes, parking:1, prefarea:no, furnishingstatus:semi-furnished"
"price:3990000, area:4500, bedrooms:3, bathrooms:2, stories:2, mainroad:no, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:yes, parking:0, prefarea:no, furnishingstatus:semi-furnished"
"price:3990000, area:3960, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:furnished"
"price:3990000, area:4050, bedrooms:2, bathrooms:1, stories:2, mainroad:yes, guestroom:yes, basement:yes, hotwaterheating:no, airconditioning:no, parking:0, prefarea:yes, furnishingstatus:unfurnished"
"price:3920000, area:7260, bedrooms:3, bathrooms:2, stories:1, mainroad:yes, guestroom:yes, basement:yes, hotwaterheating:no, airconditioning:no, parking:3, prefarea:no, furnishingstatus:furnished"
"price:3920000, area:5500, bedrooms:4, bathrooms:1, stories:2, mainroad:yes, guestroom:yes, basement:yes, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:semi-furnished"
"price:3920000, area:3000, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:semi-furnished"
"price:3920000, area:3290, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:yes, airconditioning:no, parking:1, prefarea:no, furnishingstatus:furnished"
"price:3920000, area:3816, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:yes, parking:2, prefarea:no, furnishingstatus:furnished"
"price:3920000, area:8080, bedrooms:3, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:yes, parking:2, prefarea:no, furnishingstatus:semi-furnished"
"price:3920000, area:2145, bedrooms:4, bathrooms:2, stories:1, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:no, parking:0, prefarea:yes, furnishingstatus:unfurnished"
"price:3885000, area:3780, bedrooms:2, bathrooms:1, stories:2, mainroad:yes, guestroom:yes, basement:yes, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:semi-furnished"
"price:3885000, area:3180, bedrooms:4, bathrooms:2, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:furnished"
"price:3850000, area:5300, bedrooms:5, bathrooms:2, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:semi-furnished"
"price:3850000, area:3180, bedrooms:2, bathrooms:2, stories:1, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:no, parking:2, prefarea:no, furnishingstatus:semi-furnished"
"price:3850000, area:7152, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:yes, parking:0, prefarea:no, furnishingstatus:furnished"
"price:3850000, area:4080, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:semi-furnished"
"price:3850000, area:3850, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:semi-furnished"
"price:3850000, area:2015, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:no, parking:0, prefarea:yes, furnishingstatus:semi-furnished"
"price:3850000, area:2176, bedrooms:2, bathrooms:1, stories:2, mainroad:yes, guestroom:yes, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:yes, furnishingstatus:semi-furnished"
"price:3836000, area:3350, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:unfurnished"
"price:3815000, area:3150, bedrooms:2, bathrooms:2, stories:1, mainroad:no, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:semi-furnished"
"price:3780000, area:4820, bedrooms:3, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:semi-furnished"
"price:3780000, area:3420, bedrooms:2, bathrooms:1, stories:2, mainroad:yes, guestroom:no, basement:no, hotwaterheating:yes, airconditioning:no, parking:1, prefarea:no, furnishingstatus:semi-furnished"
"price:3780000, area:3600, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:no, furnishingstatus:semi-furnished"
"price:3780000, area:5830, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:2, prefarea:no, furnishingstatus:unfurnished"
"price:3780000, area:2856, bedrooms:3, bathrooms:1, stories:3, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:0, prefarea:yes, furnishingstatus:furnished"
"price:3780000, area:8400, bedrooms:2, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:1, prefarea:no, furnishingstatus:furnished"
"price:3773000, area:8250, bedrooms:3, bathrooms:1, stories:1, mainroad:yes, guestroom:no, basement:no, hotwaterheating:no, airconditioning:no, parking:2, prefarea:no, furnishingstatus:furnished"
"price:3773000, area:2520, bedrooms:5, bathrooms:2, stories:1, mainroad:no, guestroom:no, basement:yes, hotwaterheating:no, airconditioning:yes, parking:1, prefarea:no, furnishingstatus:furnished"
